Wyciskanie sztangi na klatkê;Barbell bench press;Wielostawowe;Klatka
Martwy ci¹g;Deadlift;Wielostawowe;Grzbiet
Przysiad ze sztang¹;Deep squat;Wielostawowe;Uda
Wyciskanie sztangi sprzed g³owy (OHP);Over head press;Wielostawowe;Barki
Pompki;Push-ups;Klatka;Triceps
Dipy na porêczach (na klatkê);Chest dip;Klatka;Triceps
Podci¹ganie na dr¹¿ku;Chin up;Grzbiet;Biceps
Wios³owanie sztang¹;Bent over row;Grzbiet;Biceps
Uginanie ramion ze sztang¹ stoj¹c;Standing barbell curl;Biceps;
"Sk³ony ze sztang¹ trzyman¹ na karku (""dzieñ dobry"")";Good mornings;Grzbiet;
Wykroki ze sztangielkami;Dumbbell lunge;Uda;Poœladki
Wspiêcia na palcach stoj¹c;Standing calf raise;£ydki;
Wspiêcia na palcach stoj¹c na jednej nodze;Standing calf raise one leg;£ydki;
Wspiêcia na palcach w siadzie;Seated calf raise;£ydki;
Przysiad;Squat;Uda;Poœladki
Przysiad na jednej nodze;Squat one leg;Uda;Poœladki
Przysiad na jednej nodze na równowa¿ni;Squat one leg on balance platfom;Uda;Poœladki
Stanie na jednej nodze na równowa¿ni;Standing one leg on balance platform;£ydki;
Deska;Plank;Core;
Hollow body;Hollow body;Core;
Martwy ci¹g kettleball'em;Deadlift kettleball;Grzbiet;
Wios³owanie kettleball'em stoj¹c;Bent over kettleball row ;Grzbiet;
Wios³owanie hantl¹ stoj¹c;Bent over dumbbells row ;Grzbiet;
Wios³owanie hantl¹ w podporze;One Arm Dumbbell Row;Grzbiet;
Wyciskanie francuskie sztangi le¿¹c;French press;Triceps;
Wyciskanie francuskie sztangi ³amanej le¿¹c;French press EZ;Triceps;
Wyciskanie francuskie sztangi ³amanej w siadzie;Seated french press EZ;Triceps;
Wyciskanie francuskie hantli stoj¹c;Standing arm dumbbell extension;Triceps;
Dipy na porêczach (na triceps);Tricep dips;Triceps;Klatka
Unoszenie nóg w zwisie na dr¹¿ku ;Hanging leg raise;Core;Poœladki
Przyci¹ganie kolan do klatki w zwisie na dr¹¿ku;Hanging knee raise;Core;
Wypychanie sztangi biodrem w podporze;Hip thrust;Poœladki;Core
Wypychanie sztangi biodrem le¿¹c;Glute bridge;Poœladki;Core
Wyciskanie sztangielek na ³awce poziomej;Dumbbell bench press;Klatka;Triceps
Wyciskanie sztangielek na ³awce skoœnej;Incline dumbbell bench press;Klatka;Barki
Wyciskanie sztangi na ³awce skoœnej;Incline bench press;Klatka;Barki
Rozpiêtki ze sztangielkami na ³awce poziomej;Dumbbell flys;Klatka;
Rozpiêtki ze sztangielkami na ³awce skoœnej;Incline dumbbell flys;Klatka;
Rozpiêtki w siadzie na maszynie;Pec dec;Klatka;
Przyci¹ganie dr¹¿ka wyci¹gu górnego do klatki siedz¹c;Lat pull down;Grzbiet;
Przyci¹ganie dr¹¿ka wyci¹gu górnego do klatki siedz¹c podchwytem;Reverse grip lat pull down;Grzbiet;Biceps
Wios³owanie koñcem sztangi;T-Bar rows;Grzbiet;
Unoszenie tu³owia z opadu;Hyperextension;Grzbiet;Core
"Wznosy barków ""Sztrugsy""ze sztang¹";Barbell shrug;Grzbiet;Barki
"Wznosy barków ""Sztrugsy""ze sztangielkami";Dumbbell shrug;Grzbiet;Barki
Wyciskanie sztangielek siedz¹c;Seated dumbbell press;Barki;
Arnoldki;Arnold press;Barki;
Podci¹ganie sztangi wzd³u¿ tu³owia;Barbell upright row;Barki;
Unoszenie ramion w przód ze sztangielkami;Dumbbell front raise;Barki;
Odwrotne rozpiêtki z link¹ stoj¹c;Cable reverse fly;Barki;
Odwrotne rozpiêtki hantlami;Dumbbell reverse fly;Barki;
Przysiady ze sztangielkami;Dumbbell squat;Uda;Poœladki
Hack-przysiady;Hack squat;Uda;Poœladki
Przysiady na suwnicy skoœnej;Narrow hack squat;Uda;Poœladki
Wypychanie ciê¿aru na suwnicy;45 degree leg press;Uda;Poœladki
Uginanie nóg le¿¹c;Leg curl;Uda;Poœladki
Prostowanie nóg w siadzie;Leg extension;Uda;£ydki
"Wysoki ""step""";Step up;Wielostawowe;Uda
Martwy ci¹g na prostych nogach;Stiff leg deadlift on bench;Uda;£ydki
Uginanie ramion z hantlami stoj¹c podchwytem;Standing dumbbell curl;Biceps;
"Uginanie ramion ze sztangielkami stoj¹c (uchwyt ""m³otkowy"")";Standing hammer curl;Biceps;
"Uginanie ramion ze sztang¹ na ""modlitewniku""";EZ bar preacher curl;Biceps;
"Uginanie ramienia ze sztangielk¹ na ""modlitewniku""";Arm dumbbell preacher curl;Biceps;
Uginanie ramienia ze sztangielk¹ w siadzie (podpora o kolano);Concentration curl;Biceps;
Uginanie ramion na wyci¹gu dolnym stoj¹c z link¹;Rope hammer curls;Biceps;
Uginanie ramion ze sztang¹ ³aman¹ stoj¹c;EZ bar curl;Biceps;
Pompki w podporze ty³em;Bench dips;Triceps;
Prostowanie ramienia ze sztangielk¹ w opadzie tu³owia;Arm bent over dumbbell kickback;Triceps;
Prostowanie ramion na wyci¹gu górnym z link¹ zaczepow¹;Rope tricep extension;Triceps;
Prostowanie ramion na wyci¹gu jednor¹cz;Reverse single arm extension;Triceps;
"Wyciskanie ""francuskie"" jednor¹cz sztangielki w siadzie";One arm seated dumbbell;Triceps;
Wyciskanie le¿¹c na ³awce poziomej w¹skim uchwytem;Close grip bench press;Triceps;
